Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG10803	pykA	pyruvate kinase II monomer	characterized	characterized	2.73463312984E-05	1.00	0.795	0.266	0.299	N	N	N	pyruvate kinase II	Enzyme; Energy metabolism, carbon: Glycolysis	Pyruvate kinase II, minor	Met Orth 	N/A
EG10804	pykF	pyruvate kinase I monomer	characterized	characterized	0.0001201424	1.00	0.81	0.31	0.32	N	N	N	pyruvate kinase I	Enzyme; Energy metabolism, carbon: Glycolysis	Pyruvate kinase I, fructose 1,6-bisphosphate-activated	Met Orth 	N/A
EG10805	pyrB	aspartate carbamoyltransferase	characterized	characterized	0.0002115124	1.00	0.442	0.006	0.022	N	N	N	aspartate carbamoyltransferase, catalytic subunit	Enzyme; Pyrimidine ribonucleotide biosynthesis	Aspartate carbamoyltransferase, catalytic subunit; ATCase; aspartate transcarbamylase; aspartate transcarbamoylase	Met Orth 	'de novo' UMP biosynthetic process
EG10806	pyrC	PyrC	characterized	characterized	0.000053016	1.00	0.487	0.015	0.028	N	N	u	dihydro-orotase	Enzyme; Pyrimidine ribonucleotide biosynthesis	Dihydroorotase, the third step in pyrimidine biosynthesis; dimeric; Zn(II) metalloenzyme, binuclear metal center	Met Orth 	'de novo' UMP biosynthetic process
EG10807	pyrD	dihydroorotate dehydrogenase	characterized	characterized	0.00002287	1.00	0.645	0.001	0.014	N	N	u	dihydro-orotate oxidase, FMN-linked	Enzyme; Pyrimidine ribonucleotide biosynthesis	Dihydroorotate dehydrogenase, UMP biosynthesis	Met Orth 	'de novo' UMP biosynthetic process
EG10808	pyrE	PyrE	characterized	characterized	1.44691579962E-06	0.47	0.455	0.005	0.018	N	N	N	orotate phosphoribosyltransferase	Enzyme; Pyrimidine ribonucleotide biosynthesis	Orotate phosphoribosyltransferase	Met Orth 	'de novo' UMP biosynthetic process
EG10809	pyrF	PyrF	characterized	characterized	1.54889098354E-05	1.00	0.563	0.008	0.022	E	N	N	orotidine-5'-phosphate decarboxylase	Enzyme; Pyrimidine ribonucleotide biosynthesis	Orotidine-5'-phosphate decarboxylase; OMP decarboxylase	Met Orth 	'de novo' UMP biosynthetic process
EG10810	pyrG	PyrG	characterized	characterized	8.70674468179E-05	1.00	N.A.	N.A.	N.A.	E	u	u	CTP synthetase	Enzyme; Central intermediary metabolism: Nucleotide interconversions	CTP synthase; CtpS	Met Orth 	'de novo' CTP biosynthetic process
EG10811	pyrI	aspartate carbamoyltransferase	characterized	characterized	0.000237401	1.00	0.795	0.381	0.471	N	N	N	aspartate carbamoyltransferase, regulatory subunit	Enzyme; Pyrimidine ribonucleotide biosynthesis	Aspartate carbamoyltransferase, regulatory subunit; aspartate transcarbamylase; ATCase; aspartate transcarbamoylase	Met Orth 	'de novo' pyrimidine nucleobase biosynthetic process
EG10814	rbsA	ribose ABC transporter - putative ATP binding subunit	characterized	characterized	2.58381701665E-06	0.66	0.497	0.28	0.275	N	N	u	D-ribose ABC transporter ATPase	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-ribose ABC transporter ATPase	Met Orth 	N/A
EG10815	rbsB	ribose ABC transporter - putative periplasmic binding protein	characterized	characterized	6.16085977306E-06	0.94	0.937	0.319	0.427	N	N	N	D-ribose ABC transporter periplasmic binding protein; ribose chemotaxis receptor	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-ribose ABC transporter periplasmic binding protein; ribose chemotaxis receptor	Met Orth 	N/A
EG10816	rbsC	ribose ABC transporter - membrane subunit	characterized	characterized	2.92744585007E-06	0.56	0.527	0.43	0.757	N	N	N	D-ribose ABC transporter permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-ribose ABC transporter permease	Met Orth 	N/A
EG10817	rbsD	ribose pyranase	characterized	characterized	1.44361036196E-05	0.97	0.688	0.343	0.594	N	N	u	D-ribose pyranase	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-ribose pyranase; interconverts beta-pyran and beta-furan forms of D-ribose	Met Orth 	D-ribose catabolic process
EG10818	rbsK	ribokinase	characterized	characterized	4.75690220183E-06	0.75	0.596	0.316	0.258	N	N	u	ribokinase	Enzyme; Degradation of small molecules: Carbon compounds	Ribokinase	Met Orth 	D-ribose catabolic process
EG10835	relA	GDP pyrophosphokinase / GTP pyrophosphokinase	characterized	characterized	7.67333695582E-06	1.00	0.76	0.452	0.536	N	N	N	(p)ppGpp synthetase I/GTP pyrophosphokinase	Enzyme; Global regulatory functions	ATP:GTP 3'-pyrophosphotransferase, ppGpp synthase I; GTP pyrophosphokinase; required for ppGpp synthesis during stringent response to amino acid starvation; self-regulated	Met Orth 	guanosine tetraphosphate metabolic process
EG10838	rfaD	ADP-L-glycero-D-mannoheptose-6-epimerase	characterized	characterized	5.07408616529E-05	1.00	0.325	0.188	0.176	N	N	u	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding	Enzyme; Surface polysaccharides & antigens	ADP-L-glycero-D-manno-heptose-6-epimerase; heat-inducible, LPS; allows high-temperature growth	Met Orth 	ADP-L-glycero-beta-D-manno-heptose biosynthetic process
EG10840	rfe	undecaprenyl-phosphate &alpha;-N-acetylglucosaminyl transferase	characterized	characterized	2.20132348882E-05	1.00	0.725	0.227	0.218	N	N	u	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-P transferase; ECA and O-antigen synthesis, tunicamycin sensitivity	Met Orth 	N/A
EG10922	coaA	pantothenate kinase monomer	characterized	characterized	1.25798454691E-05	1.00	0.771	0.239	0.299	E	N	u	pantothenate kinase	Enzyme; Biosynthesis of cofactors, carriers: Pantothenate	Pantothenate kinase	Met Orth 	coenzyme A biosynthetic process
EG10929	sbp	sulfate / thiosulfate ABC transporter - periplasmic binding protein Sbp	characterized	characterized	1.03510527142E-05	0.97	0.773	0.302	0.575	N	N	N	sulfate transporter subunit	Transport; Transport of small molecules: Anions	Sulfate-binding protein, periplasmic	Met Orth 	sulfate transport
EG10930	sdaA	L-serine deaminase I	characterized	characterized	4.12326259099E-06	0.69	0.785	0.412	0.451	N	N	N	L-serine dehydratase 1	Enzyme; Degradation of small molecules: Amino acids	L-serine dehydratase 1; also known as serine deaminase; L-SD1	Met Orth 	L-serine catabolic process
EG10931	sdhA	succinate dehydrogenase flavoprotein	characterized	characterized	4.85981419776E-05	1.00	0.434	0.226	0.256	N	N	u	succinate dehydrogenase, flavoprotein subunit	Enzyme; Energy metabolism, carbon: TCA cycle	Succinate dehydrogenase (SQR) flavoprotein subunit; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	Met Orth 	N/A
EG10932	sdhB	succinate dehydrogenase iron-sulfur protein	characterized	characterized	4.10127625468E-05	1.00	0.33	0.327	0.37	N	N	u	succinate dehydrogenase, FeS subunit	Enzyme; Energy metabolism, carbon: TCA cycle	Succinate dehydrogenase (SQR) iron-sulfur protein; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	Met Orth 	N/A
EG10933	sdhC	succinate dehydrogenase membrane protein	characterized	characterized	5.86750914941E-05	1.00	0.42	0.242	0.304	N	N	u	succinate dehydrogenase, membrane subunit, binds cytochrome b556	Enzyme; Energy metabolism, carbon: TCA cycle	Succinate dehydrogenase (SQR) cytochrome b556; membrane anchor; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	Met Orth 	N/A
EG10934	sdhD	succinate dehydrogenase membrane protein	characterized	characterized	4.00268653965E-05	1.00	0.334	0.246	0.3	N	N	N	succinate dehydrogenase, membrane subunit, binds cytochrome b556	Enzyme; Energy metabolism, carbon: TCA cycle	Succinate dehydrogenase (SQR) hydrophobic subunit; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	Met Orth 	N/A
EG10941	selA	selenocysteine synthase	characterized	characterized	1.1388123538E-05	0.94	0.858	0.166	0.123	N	N	N	selenocysteine synthase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Selenocysteine synthase; with SelD, converts serine residue to selenocysteine on tRNA; contains pyridoxal 5-phosphate	Met Orth 	selenocysteine incorporation
EG10943	selD	selenide	characterized	characterized	4.12923741168E-05	1.00	0.843	0.115	0.109	E	N	N	selenophosphate synthase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Selenophosphate synthase, ATP-dependent; reduced selenium donor for selenocysteic tRNA synthesis and for the modification of several tRNAs to contain 5-methylaminomethyl-2-selenouridine	Met Orth 	tRNA seleno-modification
EG10944	serA	SerA	characterized	characterized	0.0006997844	1.00	0.856	0.007	0.021	N	N	N	D-3-phosphoglycerate dehydrogenase	Enzyme; Amino acid biosynthesis: Serine	D-3-Phosphoglycerate dehydrogenase	Met Orth 	L-serine biosynthetic process
EG10945	serB	phosphoserine phosphatase	characterized	characterized	1.37673451287E-05	1.00	0.755	0.009	0.042	N	N	u	3-phosphoserine phosphatase	Enzyme; Amino acid biosynthesis: Serine	Phosphoserine phosphatase; HAD9	Met Orth 	L-serine biosynthetic process
EG10946	serC	SerC	characterized	characterized	0.0005661926	1.00	0.725	0.001	0.001	N	N	u	3-phosphoserine/phosphohydroxythreonine aminotransferase	Enzyme; Amino acid biosynthesis: Serine	Phosphoserine aminotransferase	Met Orth 	L-serine biosynthetic process
EG10947	serS	seryl-tRNA synthetase	characterized	characterized	0.0001401972	1.00	N.A.	N.A.	N.A.	E	E	u	seryl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Serine--tRNA ligase; serine hydroxamate resistance	Met Orth 	seryl-tRNA aminoacylation
EG10948	maeA	malate dehydrogenase	characterized	characterized	4.84095532471E-05	1.00	0.691	0.251	0.25	N	N	N	malate dehydrogenase, decarboxylating, NAD-requiring; malic enzyme	Enzyme; Central intermediary metabolism: Gluconeogenesis	Malic enzyme, NAD-dependent; NAD-ME	Met Orth 	malate metabolic process
EG10950	slt	soluble lytic murein transglycosylase	characterized	characterized	6.99294852688E-06	0.91	0.7	0.217	0.264	N	N	N	lytic murein transglycosylase, soluble	Enzyme; Murein sacculus, peptidoglycan	Soluble lytic murein transglycosylase Slt70, major autolysin, periplasmic	Met Orth 	N/A
EG10953	sodA	SodA	characterized	characterized	0.000188319	1.00	0.755	0.256	0.308	N	N	N	superoxide dismutase, Mn	Enzyme; Detoxification	Superoxide dismutase, Mn	Met Orth 	cellular response to selenium ion
EG10954	sodB	SodB	characterized	characterized	4.72327442126E-06	0.91	0.741	0.292	0.434	N	N	N	superoxide dismutase, Fe	Enzyme; Detoxification	Superoxide dismutase, Fe; response to oxidative stress; chromate resistance; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; acid-inducible	Met Orth 	response to superoxide
EG10959	speA	SpeA	characterized	characterized	4.22087539959E-05	1.00	0.789	0.295	0.254	N	N	N	biosynthetic arginine decarboxylase, PLP-binding	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Biosynthetic decarboxylase	Met Orth 	putrescine biosynthetic process
EG10960	speB	SpeB	characterized	characterized	9.23086550535E-06	1.00	0.959	0.467	0.569	N	N	N	agmatinase	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Agmatinase; agmatine ureohydrolase	Met Orth 	putrescine biosynthetic process from arginine
EG10961	speC	ornithine decarboxylase	characterized	characterized	8.83405515037E-06	0.91	0.849	0.287	0.266	N	N	N	ornithine decarboxylase, constitutive	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Ornithine decarboxylase	Met Orth 	putrescine biosynthetic process from ornithine
EG10962	speD	adenosylmethionine decarboxylase	characterized	characterized	3.73674718515E-05	1.00	0.734	0.274	0.274	N	N	u	S-adenosylmethionine decarboxylase	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	S-adenosylmethionine decarboxylase, spermidine biosynthesis; two subunits by cleavage: residues 1-111 are the beta chain and 112-264 are the alpha chain (153 aa)	Met Orth 	S-adenosylmethioninamine biosynthetic process
EG10963	speE	SpeE	characterized	characterized	7.35958779469E-05	1.00	0.867	0.26	0.331	N	N	u	spermidine synthase (putrescine aminopropyltransferase)	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Spermidine synthase	Met Orth 	spermidine biosynthetic process
EG10964	speF	ornithine decarboxylase	characterized	characterized	2.20186733087E-07	0.16	0.766	0.362	0.459	N	N	u	ornithine decarboxylase isozyme, inducible	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Ornthine decarboxylase, inducible	Met Orth 	putrescine biosynthetic process from ornithine
EG10965	gmk	Gmk	characterized	characterized	5.89602212568E-05	1.00	N.A.	N.A.	N.A.	E	E	u	guanylate kinase	Enzyme; Purine ribonucleotide biosynthesis	Guanylate kinase	Met Orth 	N/A
EG10966	spoT	guanosine 3-diphosphate 5-triphosphate 3-diphosphatase multifunctional	characterized	characterized	5.42785217076E-05	1.00	N.A.	N.A.	N.A.	?	E	u	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	Enzyme; Global regulatory functions	ppGpp 3'-pyrophosphohydrolase and ppGpp synthase II; guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	Met Orth 	guanosine tetraphosphate metabolic process
EG10969	srlE	glucitol/sorbitol PTS permease - SrlE subunit	characterized	characterized	8.42513096849E-07	0.28	0.681	0.417	0.57	N	N	N	glucitol/sorbitol-specific enzyme IIC component of PTS	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-sorbitol-specific enzyme II of phosphotransferase system	Met Orth 	N/A
EG10970	srlB	glucitol/sorbitol PTS permease - SrlB subunit	characterized	characterized	6.9941849465E-07	0.28	0.772	0.426	0.646	?	N	u	glucitol/sorbitol-specific enzyme IIA component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-sorbitol-specific enzyme III of the phosphotransferase system	Met Orth 	N/A
EG10971	srlD	SrlD	characterized	characterized	2.81937568555E-06	0.53	0.695	0.266	0.165	N	N	u	sorbitol-6-phosphate dehydrogenase	Enzyme; Degradation of small molecules: Carbon compounds	Sorbitol-6-phosphate dehydrogenase	Met Orth 	sorbitol catabolic process
EG10973	gutQ	D-arabinose 5-phosphate isomerase	characterized	characterized	3.0369080296E-06	0.66	0.681	0.25	0.267	N	N	N	D-arabinose 5-phosphate isomerase	Null	D-arabinose 5-phosphate isomerase	Met Orth 	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
EG10979	sucA	subunit of E1(0) component of 2-oxoglutarate dehydrogenase	characterized	characterized	7.03223308556E-05	1.00	0.305	0.27	0.319	E	N	u	2-oxoglutarate decarboxylase, thiamine triphosphate-binding	Enzyme; Energy metabolism, carbon: TCA cycle	2-oxoglutarate dehydrogenase, E1 component; yields succinyl-CoA and CO(2); also known as alpha-ketoglutarate dehydrogenase	Met Orth 	N/A
EG10980	sucB	SucB	characterized	characterized	3.9013207756E-05	1.00	0.396	0.131	0.11	E	N	u	dihydrolipoyltranssuccinase	Enzyme; Energy metabolism, carbon: TCA cycle	2-oxoglutarate dehydrogenase, E2 component; dihydrolipoamide succinyltransferase; acid-inducible; yields succinyl-CoA and CO(2); also known as alpha-ketoglutarate dehydrogenase	Met Orth 	L-lysine catabolic process to acetyl-CoA via saccharopine
EG10981	sucC	succinyl-CoA synthetase	characterized	characterized	0.0001096704	1.00	0.614	0.324	0.319	N	N	N	succinyl-CoA synthetase, beta subunit	Enzyme; Energy metabolism, carbon: TCA cycle	Succinyl CoA synthase beta-subunit; acid-inducible	Met Orth 	N/A
EG10982	sucD	succinyl-CoA synthetase	characterized	characterized	0.0001393133	1.00	0.573	0.295	0.278	N	N	N	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit	Enzyme; Energy metabolism, carbon: TCA cycle	Succinyl CoA synthase alpha-subunit	Met Orth 	N/A
EG10983	suhB	inositol monophosphatase	characterized	characterized	2.67639366016E-05	1.00	N.A.	N.A.	N.A.	E	N	N	inositol monophosphatase	Phenotype; Global regulatory functions	Inositol-1-monophosphatase; mutation suppresses TS growth phenotype of rpoH15, dnaB121, and secY24; suhB mutations confers CS growth	Met Orth 	inositol phosphate dephosphorylation
EG10990	tdcB	TdcB	characterized	characterized	8.78164548377E-08	0.00	0.786	0.398	0.54	N	N	N	L-threonine dehydratase, catabolic	Enzyme; Degradation of small molecules: Amino acids	L-threonine dehydratase, catabolic, PLP-dependent; also known as threonine deaminase	Met Orth 	L-serine catabolic process
EG10991	tdcC	serine / threonine H<sup>+</sup> symporter TdcC	characterized	characterized	9.19359942714E-07	0.31	0.854	0.416	0.461	X	N	N	L-threonine/L-serine transporter	Transport; Transport of small molecules: Amino acids, amines	Serine/threonine:H+ symport permease	Met Orth 	L-serine transport
EG10993	tdh	Tdh	characterized	characterized	4.79381563699E-06	0.78	0.771	0.325	0.365	N	N	N	L-threonine 3-dehydrogenase, NAD(P)-binding	Enzyme; Degradation of small molecules: Amino acids	Threonine dehydrogenase	Met Orth 	L-threonine catabolic process to glycine
EG10994	tdk	thymidine kinase / deoxyuridine kinase	characterized	characterized	9.11940107931E-06	1.00	0.822	0.209	0.174	E	N	u	thymidine kinase/deoxyuridine kinase	Enzyme; Salvage of nucleosides and nucleotides	Deoxythymidine kinase	Met Orth 	N/A
EG10995	tesB	TesB	characterized	characterized	9.62570012203E-06	0.97	0.803	0.244	0.182	N	N	N	acyl-CoA thioesterase 2	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Acyl-CoA thioesterase 2	Met Orth 	N/A
